학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,대학
KO1201-00,문화의이해,1,60,김종수,3.0,화 16:30-17:45 (외204)목 16:30-17:45 (외204),11,,,국제
KO1203-00,한국현대문화,1,40,이선이,3.0,월 12:00-13:15 (외308)수 12:00-13:15 (외308),05,,,국제
KO1406-00,담화와회화,1,50,남주연,3.0,월 15:00-16:15 (외402)수 15:00-16:15 (외402),05,,외국인전용수업,국제
KO1501-00,한국사회문화읽기,1,40,오승희,3.0,화 13:30-16:15 (외201),05,,외국인전용강좌,국제
KO2101-00,한국어문법론,2,30,김정남,3.0,화 10:30-11:45 (외211)목 10:30-11:45 (외211),05,,,국제
KO2103-00,한국어발음교육론,2,45,장혜진,3.0,금 13:30-16:15 (외305),05,,,국제
KO2203-00,한국작가분석,2,30,이선이,3.0,월 16:30-17:45 (외211)수 16:30-17:45 (외211),05,,,국제
KO2407-00,담화와작문,2,40,김현진,3.0,금 13:30-16:15 (외308),05,,외국인전용강좌,국제
KO2502-00,한국역사와문화(F),2,40,이화형,3.0,월 10:30-11:45 (외403)수 10:30-11:45 (외403),05,,외국인전용수업,국제
KO3101-00,대조언어학,3,25,한재영,3.0,월 16:30-17:45 (외304)수 16:30-17:45 (외304),05,,,국제
KO3104-00,한국어듣기읽기교육법,3,50,김유미,3.0,월 10:30-11:45 (외305)수 10:30-11:45 (외305),05,,,국제
KO3105-00,한국어교수법,3,50,이선진,3.0,월 15:00-16:15 (외321)수 15:00-16:15 (외321),05,,,국제
KO3204-00,한국소설과영상,3,30,김종수,3.0,화 13:30-14:45 (외403)목 13:30-14:45 (외403),05,,,국제
KO3205-00,한국의정신이해,3,26,이화형,3.0,화 15:00-16:15 (외405)목 15:00-16:15 (외405),05,,,국제
KO4101-00,한국어어문규범,4,25,김정남,3.0,화 09:00-10:15 (외304)목 09:00-10:15 (외304),05,,,국제
KO4104-00,한국어평가론,4,30,김유미,3.0,화 12:00-13:15 (외404)목 12:00-13:15 (외404),05,,,국제
KO4105-00,한국어교육실습,4,30,박서향,3.0,월 09:00-10:15 (외305)수 09:00-10:15 (외305),05,,,국제
KO4202-00,한국문화유산탐방,4,30,김태우,3.0,화 10:30-11:45 (외201)목 10:30-11:45 (외201),05,,,국제
KO4301-00,졸업논문(한국어전공),4,50,박동호,.0,- (),04,,,국제
KO4304-00,한국언어문화캡스톤디자인,4,50,김종수,3.0,금 10:30-13:15 (외304),05,,,국제
